Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
arrival;10/11/2025, 07:28:52.826;0.00s;1;10/11/2025, 07:28:52.826;--
arrival;10/11/2025, 07:28:53.945;0.00s;2;10/11/2025, 07:28:53.945;--
arrival;10/11/2025, 07:28:55.622;0.00s;3;10/11/2025, 07:28:55.622;--
arrival;10/11/2025, 07:28:57.384;0.00s;4;10/11/2025, 07:28:57.384;--
arrival;10/11/2025, 07:29:00.962;0.00s;5;10/11/2025, 07:29:00.962;--
arrival;10/11/2025, 07:29:04.784;0.00s;6;10/11/2025, 07:29:04.784;--
arrival;10/11/2025, 07:29:11.241;0.00s;7;10/11/2025, 07:29:11.241;--
arrival;10/11/2025, 07:29:12.945;0.00s;8;10/11/2025, 07:29:12.945;--
arrival;10/11/2025, 07:29:20.780;0.00s;9;10/11/2025, 07:29:20.780;--
arrival;10/11/2025, 07:29:34.080;0.00s;10;10/11/2025, 07:29:34.080;--
arrival;10/11/2025, 07:29:37.140;0.00s;11;10/11/2025, 07:29:37.140;--
arrival;10/11/2025, 07:29:38.982;0.00s;12;10/11/2025, 07:29:38.982;--
arrival;10/11/2025, 07:29:40.693;0.00s;13;10/11/2025, 07:29:40.693;--
arrival;10/11/2025, 07:29:41.555;0.00s;14;10/11/2025, 07:29:41.555;--
arrival;10/11/2025, 07:29:42.153;0.00s;15;10/11/2025, 07:29:42.153;--
arrival;10/11/2025, 07:29:42.780;0.00s;16;10/11/2025, 07:29:42.780;--
arrival;10/11/2025, 07:29:43.387;0.00s;17;10/11/2025, 07:29:43.387;--
arrival;10/11/2025, 07:29:43.995;0.00s;18;10/11/2025, 07:29:43.995;--
arrival;10/11/2025, 07:29:44.582;0.00s;19;10/11/2025, 07:29:44.582;--
arrival;10/11/2025, 07:29:45.428;0.00s;20;10/11/2025, 07:29:45.428;--
arrival;10/11/2025, 07:29:46.035;0.00s;21;10/11/2025, 07:29:46.035;--
arrival;10/11/2025, 07:29:48.333;0.00s;22;10/11/2025, 07:29:48.333;--
arrival;10/11/2025, 07:29:48.788;0.00s;23;10/11/2025, 07:29:48.788;--
arrival;10/11/2025, 07:29:50.723;0.00s;24;10/11/2025, 07:29:50.723;--
arrival;10/11/2025, 07:29:51.506;0.00s;25;10/11/2025, 07:29:51.506;--
arrival;10/11/2025, 07:30:22.130;0.00s;26;10/11/2025, 07:30:22.130;--
arrival;10/11/2025, 07:30:22.911;0.00s;27;10/11/2025, 07:30:22.911;--
arrival;10/11/2025, 07:30:30.290;0.00s;28;10/11/2025, 07:30:30.290;--
arrival;10/11/2025, 07:30:30.692;0.00s;29;10/11/2025, 07:30:30.692;--
arrival;10/11/2025, 07:30:40.772;0.00s;30;10/11/2025, 07:30:40.772;--
arrival;10/11/2025, 07:30:41.642;0.00s;31;10/11/2025, 07:30:41.642;--
arrival;10/11/2025, 07:31:29.611;0.00s;32;10/11/2025, 07:31:29.611;--
arrival;10/11/2025, 07:31:31.174;0.00s;33;10/11/2025, 07:31:31.174;--
arrival;10/11/2025, 07:31:32.104;0.00s;34;10/11/2025, 07:31:32.104;--
arrival;10/11/2025, 07:31:37.286;0.00s;35;10/11/2025, 07:31:37.286;--
arrival;10/11/2025, 07:31:38.649;0.00s;36;10/11/2025, 07:31:38.649;--
arrival;10/11/2025, 07:31:43.373;0.00s;37;10/11/2025, 07:31:43.373;--
arrival;10/11/2025, 07:31:45.895;0.00s;38;10/11/2025, 07:31:45.895;--
arrival;10/11/2025, 07:31:53.475;0.00s;39;10/11/2025, 07:31:53.475;--
arrival;10/11/2025, 07:31:54.297;0.00s;40;10/11/2025, 07:31:54.297;--
arrival;10/11/2025, 07:31:55.103;0.00s;41;10/11/2025, 07:31:55.103;--
arrival;10/11/2025, 07:31:56.119;0.00s;42;10/11/2025, 07:31:56.119;--
arrival;10/11/2025, 07:32:00.673;0.00s;43;10/11/2025, 07:32:00.673;--
arrival;10/11/2025, 07:32:33.091;0.00s;44;10/11/2025, 07:32:33.091;--
arrival;10/11/2025, 07:32:33.790;0.00s;45;10/11/2025, 07:32:33.790;--
arrival;10/11/2025, 07:32:34.444;0.00s;46;10/11/2025, 07:32:34.444;--
arrival;10/11/2025, 07:32:35.296;0.00s;47;10/11/2025, 07:32:35.296;--
arrival;10/11/2025, 07:32:58.451;0.00s;48;10/11/2025, 07:32:58.451;--
arrival;10/11/2025, 07:33:22.645;0.00s;49;10/11/2025, 07:33:22.645;--
arrival;10/11/2025, 07:33:29.440;0.00s;50;10/11/2025, 07:33:29.440;--
arrival;10/11/2025, 07:33:36.503;0.00s;51;10/11/2025, 07:33:36.503;--
arrival;10/11/2025, 07:33:37.005;0.00s;52;10/11/2025, 07:33:37.005;--
arrival;10/11/2025, 07:33:46.202;0.00s;53;10/11/2025, 07:33:46.202;--
arrival;10/11/2025, 07:33:47.494;0.00s;54;10/11/2025, 07:33:47.494;--
arrival;10/11/2025, 07:34:14.847;0.00s;55;10/11/2025, 07:34:14.847;--
