Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
service;10/11/2025, 07:30:08.339;12.72s;1;10/11/2025, 07:30:08.339;10/11/2025, 07:30:21.064
service;10/11/2025, 07:30:23.107;13.03s;2;10/11/2025, 07:30:23.107;10/11/2025, 07:30:36.132
service;10/11/2025, 07:30:37.347;10.09s;3;10/11/2025, 07:30:37.347;10/11/2025, 07:30:47.441
service;10/11/2025, 07:30:48.384;25.40s;4;10/11/2025, 07:30:48.384;10/11/2025, 07:31:13.784
service;10/11/2025, 07:31:14.876;14.40s;5;10/11/2025, 07:31:14.876;10/11/2025, 07:31:29.273
service;10/11/2025, 07:31:30.071;22.62s;6;10/11/2025, 07:31:30.071;10/11/2025, 07:31:52.688
service;10/11/2025, 07:31:53.714;17.27s;7;10/11/2025, 07:31:53.714;10/11/2025, 07:32:10.982
service;10/11/2025, 07:32:11.733;27.47s;8;10/11/2025, 07:32:11.733;10/11/2025, 07:32:39.202
service;10/11/2025, 07:32:40.011;26.86s;9;10/11/2025, 07:32:40.011;10/11/2025, 07:33:06.870
service;10/11/2025, 07:33:07.668;11.10s;10;10/11/2025, 07:33:07.668;10/11/2025, 07:33:18.769
service;10/11/2025, 07:33:19.808;14.29s;11;10/11/2025, 07:33:19.808;10/11/2025, 07:33:34.099
service;10/11/2025, 07:33:34.735;22.57s;12;10/11/2025, 07:33:34.735;10/11/2025, 07:33:57.302
service;10/11/2025, 07:33:57.954;13.71s;13;10/11/2025, 07:33:57.954;10/11/2025, 07:34:11.667
service;10/11/2025, 07:34:12.447;15.08s;14;10/11/2025, 07:34:12.447;10/11/2025, 07:34:27.524
service;10/11/2025, 07:34:28.531;13.46s;15;10/11/2025, 07:34:28.531;10/11/2025, 07:34:41.994
service;10/11/2025, 07:34:43.040;7.66s;16;10/11/2025, 07:34:43.040;10/11/2025, 07:34:50.699
service;10/11/2025, 07:34:51.266;15.42s;17;10/11/2025, 07:34:51.266;10/11/2025, 07:35:06.683
service;10/11/2025, 07:35:07.241;7.21s;18;10/11/2025, 07:35:07.241;10/11/2025, 07:35:14.454
service;10/11/2025, 07:35:15.110;16.16s;19;10/11/2025, 07:35:15.110;10/11/2025, 07:35:31.267
service;10/11/2025, 07:35:32.896;8.67s;20;10/11/2025, 07:35:32.896;10/11/2025, 07:35:41.568
service;10/11/2025, 07:35:42.638;23.99s;21;10/11/2025, 07:35:42.638;10/11/2025, 07:36:06.627
service;10/11/2025, 07:36:07.761;20.10s;22;10/11/2025, 07:36:07.761;10/11/2025, 07:36:27.858
service;10/11/2025, 07:36:29.402;22.63s;23;10/11/2025, 07:36:29.402;10/11/2025, 07:36:52.027
service;10/11/2025, 07:36:52.821;29.93s;24;10/11/2025, 07:36:52.821;10/11/2025, 07:37:22.746
service;10/11/2025, 07:37:23.431;7.95s;25;10/11/2025, 07:37:23.431;10/11/2025, 07:37:31.381
service;10/11/2025, 07:37:31.947;8.32s;26;10/11/2025, 07:37:31.947;10/11/2025, 07:37:40.264
service;10/11/2025, 07:37:40.800;34.57s;27;10/11/2025, 07:37:40.800;10/11/2025, 07:38:15.369
service;10/11/2025, 07:38:16.369;20.97s;28;10/11/2025, 07:38:16.369;10/11/2025, 07:38:37.336
service;10/11/2025, 07:38:38.379;20.55s;29;10/11/2025, 07:38:38.379;10/11/2025, 07:38:58.931
service;10/11/2025, 07:38:59.983;13.98s;30;10/11/2025, 07:38:59.983;10/11/2025, 07:39:13.962
service;10/11/2025, 07:39:15.136;15.10s;31;10/11/2025, 07:39:15.136;10/11/2025, 07:39:30.239
service;10/11/2025, 07:39:31.059;12.84s;32;10/11/2025, 07:39:31.059;10/11/2025, 07:39:43.902
service;10/11/2025, 07:39:44.517;24.00s;33;10/11/2025, 07:39:44.517;10/11/2025, 07:40:08.514
service;10/11/2025, 07:40:09.234;22.11s;34;10/11/2025, 07:40:09.234;10/11/2025, 07:40:31.347
service;10/11/2025, 07:40:32.498;11.19s;35;10/11/2025, 07:40:32.498;10/11/2025, 07:40:43.683
service;10/11/2025, 07:40:44.594;15.51s;36;10/11/2025, 07:40:44.594;10/11/2025, 07:41:00.099
service;10/11/2025, 07:41:00.790;12.02s;37;10/11/2025, 07:41:00.790;10/11/2025, 07:41:12.807
service;10/11/2025, 07:41:14.176;15.08s;38;10/11/2025, 07:41:14.176;10/11/2025, 07:41:29.258
service;10/11/2025, 07:41:29.984;11.66s;39;10/11/2025, 07:41:29.984;10/11/2025, 07:41:41.640
service;10/11/2025, 07:41:42.835;27.98s;40;10/11/2025, 07:41:42.835;10/11/2025, 07:42:10.817
service;10/11/2025, 07:42:11.605;16.57s;41;10/11/2025, 07:42:11.605;10/11/2025, 07:42:28.174
service;10/11/2025, 07:42:29.051;18.44s;42;10/11/2025, 07:42:29.051;10/11/2025, 07:42:47.492
service;10/11/2025, 07:42:48.262;22.28s;43;10/11/2025, 07:42:48.262;10/11/2025, 07:43:10.542
service;10/11/2025, 07:43:11.073;15.68s;44;10/11/2025, 07:43:11.073;10/11/2025, 07:43:26.753
service;10/11/2025, 07:43:27.385;22.64s;45;10/11/2025, 07:43:27.385;10/11/2025, 07:43:50.028
service;10/11/2025, 07:43:50.779;25.25s;46;10/11/2025, 07:43:50.779;10/11/2025, 07:44:16.027
service;10/11/2025, 07:44:16.644;26.06s;47;10/11/2025, 07:44:16.644;10/11/2025, 07:44:42.702
service;10/11/2025, 07:44:43.380;39.73s;48;10/11/2025, 07:44:43.380;10/11/2025, 07:45:23.111
service;10/11/2025, 07:45:23.740;13.90s;49;10/11/2025, 07:45:23.740;10/11/2025, 07:45:37.639
service;10/11/2025, 07:45:38.640;12.39s;50;10/11/2025, 07:45:38.640;10/11/2025, 07:45:51.028
service;10/11/2025, 07:45:51.808;11.27s;51;10/11/2025, 07:45:51.808;10/11/2025, 07:46:03.079
service;10/11/2025, 07:46:03.977;18.10s;52;10/11/2025, 07:46:03.977;10/11/2025, 07:46:22.077
service;10/11/2025, 07:46:22.736;12.74s;53;10/11/2025, 07:46:22.736;10/11/2025, 07:46:35.474
service;10/11/2025, 07:46:35.999;14.77s;54;10/11/2025, 07:46:35.999;10/11/2025, 07:46:50.765
service;10/11/2025, 07:46:51.284;17.24s;55;10/11/2025, 07:46:51.284;10/11/2025, 07:47:08.522
service;10/11/2025, 07:47:09.130;6.23s;56;10/11/2025, 07:47:09.130;10/11/2025, 07:47:15.357
service;10/11/2025, 07:47:15.976;20.25s;57;10/11/2025, 07:47:15.976;10/11/2025, 07:47:36.222
service;10/11/2025, 07:47:36.879;15.50s;58;10/11/2025, 07:47:36.879;10/11/2025, 07:47:52.377
service;10/11/2025, 07:47:52.960;16.31s;59;10/11/2025, 07:47:52.960;10/11/2025, 07:48:09.269
service;10/11/2025, 07:48:09.855;19.76s;60;10/11/2025, 07:48:09.855;10/11/2025, 07:48:29.618
service;10/11/2025, 07:48:30.413;8.89s;61;10/11/2025, 07:48:30.413;10/11/2025, 07:48:39.299
service;10/11/2025, 07:48:39.871;18.87s;62;10/11/2025, 07:48:39.871;10/11/2025, 07:48:58.745
service;10/11/2025, 07:48:59.493;17.21s;63;10/11/2025, 07:48:59.493;10/11/2025, 07:49:16.701
service;10/11/2025, 07:49:17.255;17.57s;64;10/11/2025, 07:49:17.255;10/11/2025, 07:49:34.829
service;10/11/2025, 07:49:35.463;14.35s;65;10/11/2025, 07:49:35.463;10/11/2025, 07:49:49.808
service;10/11/2025, 07:49:50.307;20.12s;66;10/11/2025, 07:49:50.307;10/11/2025, 07:50:10.427
service;10/11/2025, 07:50:10.922;18.01s;67;10/11/2025, 07:50:10.922;10/11/2025, 07:50:28.930
service;10/11/2025, 07:50:29.791;16.10s;68;10/11/2025, 07:50:29.791;10/11/2025, 07:50:45.895
service;10/11/2025, 07:50:46.628;13.01s;69;10/11/2025, 07:50:46.628;10/11/2025, 07:50:59.635
service;10/11/2025, 07:51:00.446;22.45s;70;10/11/2025, 07:51:00.446;10/11/2025, 07:51:22.894
service;10/11/2025, 07:51:23.441;19.98s;71;10/11/2025, 07:51:23.441;10/11/2025, 07:51:43.426
service;10/11/2025, 07:51:44.078;14.28s;72;10/11/2025, 07:51:44.078;10/11/2025, 07:51:58.359
service;10/11/2025, 07:51:58.974;9.03s;73;10/11/2025, 07:51:58.974;10/11/2025, 07:52:08.001
service;10/11/2025, 07:52:08.657;39.73s;74;10/11/2025, 07:52:08.657;10/11/2025, 07:52:48.383
service;10/11/2025, 07:52:48.962;7.84s;75;10/11/2025, 07:52:48.962;10/11/2025, 07:52:56.804
service;10/11/2025, 07:52:57.441;13.19s;76;10/11/2025, 07:52:57.441;10/11/2025, 07:53:10.634
service;10/11/2025, 07:53:11.074;29.89s;77;10/11/2025, 07:53:11.074;10/11/2025, 07:53:40.961
service;10/11/2025, 07:53:41.536;33.31s;78;10/11/2025, 07:53:41.536;10/11/2025, 07:54:14.848
service;10/11/2025, 07:54:15.495;15.98s;79;10/11/2025, 07:54:15.495;10/11/2025, 07:54:31.475
service;10/11/2025, 07:54:31.978;17.51s;80;10/11/2025, 07:54:31.978;10/11/2025, 07:54:49.487
service;10/11/2025, 07:54:49.945;13.28s;81;10/11/2025, 07:54:49.945;10/11/2025, 07:55:03.228
service;10/11/2025, 07:55:03.634;11.14s;82;10/11/2025, 07:55:03.634;10/11/2025, 07:55:14.779
service;10/11/2025, 07:55:15.274;8.32s;83;10/11/2025, 07:55:15.274;10/11/2025, 07:55:23.590
service;10/11/2025, 07:55:24.046;17.12s;84;10/11/2025, 07:55:24.046;10/11/2025, 07:55:41.165
service;10/11/2025, 07:55:42.034;20.38s;85;10/11/2025, 07:55:42.034;10/11/2025, 07:56:02.409
service;10/11/2025, 07:56:02.997;13.55s;86;10/11/2025, 07:56:02.997;10/11/2025, 07:56:16.549
service;10/11/2025, 07:56:17.200;20.52s;87;10/11/2025, 07:56:17.200;10/11/2025, 07:56:37.722
service;10/11/2025, 07:56:38.139;6.18s;88;10/11/2025, 07:56:38.139;10/11/2025, 07:56:44.324
service;10/11/2025, 07:56:44.915;6.94s;89;10/11/2025, 07:56:44.915;10/11/2025, 07:56:51.857
service;10/11/2025, 07:56:52.355;8.52s;90;10/11/2025, 07:56:52.355;10/11/2025, 07:57:00.873
service;10/11/2025, 07:57:01.367;18.03s;91;10/11/2025, 07:57:01.367;10/11/2025, 07:57:19.395
service;10/11/2025, 07:57:20.002;4.74s;92;10/11/2025, 07:57:20.002;10/11/2025, 07:57:24.737
service;10/11/2025, 07:57:25.268;7.02s;93;10/11/2025, 07:57:25.268;10/11/2025, 07:57:32.285
service;10/11/2025, 07:57:32.758;10.91s;94;10/11/2025, 07:57:32.758;10/11/2025, 07:57:43.666
service;10/11/2025, 07:57:44.193;9.54s;95;10/11/2025, 07:57:44.193;10/11/2025, 07:57:53.735
service;10/11/2025, 07:57:54.466;16.37s;96;10/11/2025, 07:57:54.466;10/11/2025, 07:58:10.833
