Tipo,Carimbo de Data/Hora,Tempo Total,Elemento,Chegando,Saindo
service,2025-07-11 07:23:29.922,19.40s,1,2025-07-11 07:23:30.975000,2025-07-11 07:23:49.325
service,2025-07-11 07:23:50.173,7.43s,2,2025-07-11 07:23:50.173,2025-07-11 07:23:57.605
service,2025-07-11 07:23:58.709,5.50s,3,2025-07-11 07:23:58.709,2025-07-11 07:24:04.206
service,2025-07-11 07:24:05.906,7.43s,4,2025-07-11 07:24:05.906,2025-07-11 07:24:13.334
service,2025-07-11 07:24:20.799,1.33s,5,2025-07-11 07:24:20.799,2025-07-11 07:24:22.129
service,2025-07-11 07:24:25.967,7.18s,6,2025-07-11 07:24:25.967,2025-07-11 07:24:33.145
service,2025-07-11 07:24:35.550,8.68s,7,2025-07-11 07:24:35.550,2025-07-11 07:24:44.231
service,2025-07-11 07:24:44.939,14.87s,8,2025-07-11 07:24:44.939,2025-07-11 07:24:59.804
service,2025-07-11 07:25:00.451,8.31s,9,2025-07-11 07:25:00.451,2025-07-11 07:25:08.760
service,2025-07-11 07:25:09.986,30.92s,10,2025-07-11 07:25:09.986,2025-07-11 07:25:40.902
service,2025-07-11 07:25:41.612,15.47s,11,2025-07-11 07:25:41.612,2025-07-11 07:25:57.078
service,2025-07-11 07:25:58.438,19.67s,12,2025-07-11 07:25:58.438,2025-07-11 07:26:18.107
service,2025-07-11 07:26:19.159,10.61s,13,2025-07-11 07:26:19.159,2025-07-11 07:26:29.766
service,2025-07-11 07:26:30.732,11.48s,14,2025-07-11 07:26:30.732,2025-07-11 07:26:42.209
service,2025-07-11 07:26:43.251,6.08s,15,2025-07-11 07:26:43.251,2025-07-11 07:26:49.328
service,2025-07-11 07:26:52.079,24.82s,16,2025-07-11 07:26:52.079,2025-07-11 07:27:16.896
service,2025-07-11 07:27:17.665,8.63s,17,2025-07-11 07:27:17.665,2025-07-11 07:27:26.292
service,2025-07-11 07:27:27.478,25.56s,18,2025-07-11 07:27:27.478,2025-07-11 07:27:53.035
service,2025-07-11 07:27:53.976,14.05s,19,2025-07-11 07:27:53.976,2025-07-11 07:28:08.030
service,2025-07-11 07:28:09.190,17.55s,20,2025-07-11 07:28:09.190,2025-07-11 07:28:26.737
service,2025-07-11 07:28:28.014,7.54s,21,2025-07-11 07:28:28.014,2025-07-11 07:28:35.551
service,2025-07-11 07:28:36.872,10.86s,22,2025-07-11 07:28:36.872,2025-07-11 07:28:47.727
service,2025-07-11 07:28:49.015,8.05s,23,2025-07-11 07:28:49.015,2025-07-11 07:28:57.066
service,2025-07-11 07:28:59.816,12.76s,24,2025-07-11 07:28:59.816,2025-07-11 07:29:12.580
service,2025-07-11 07:29:13.754,11.59s,25,2025-07-11 07:29:13.754,2025-07-11 07:29:25.341
service,2025-07-11 07:29:26.211,6.56s,26,2025-07-11 07:29:26.211,2025-07-11 07:29:32.769
service,2025-07-11 07:29:34.198,4.40s,27,2025-07-11 07:29:34.198,2025-07-11 07:29:38.594
service,2025-07-11 07:29:40.574,7.89s,28,2025-07-11 07:29:40.574,2025-07-11 07:29:48.462
service,2025-07-11 07:29:50.665,31.94s,29,2025-07-11 07:29:50.665,2025-07-11 07:30:22.601
service,2025-07-11 07:30:23.222,4.58s,30,2025-07-11 07:30:23.222,2025-07-11 07:30:27.806
service,2025-07-11 07:30:28.637,4.73s,31,2025-07-11 07:30:28.637,2025-07-11 07:30:33.370
service,2025-07-11 07:30:35.298,11.05s,32,2025-07-11 07:30:35.298,2025-07-11 07:30:46.344
service,2025-07-11 07:30:47.601,5.67s,33,2025-07-11 07:30:47.601,2025-07-11 07:30:53.268
service,2025-07-11 07:30:54.079,11.27s,34,2025-07-11 07:30:54.079,2025-07-11 07:31:05.347
service,2025-07-11 07:31:06.651,11.72s,35,2025-07-11 07:31:06.651,2025-07-11 07:31:18.372
service,2025-07-11 07:31:19.636,16.14s,36,2025-07-11 07:31:19.636,2025-07-11 07:31:35.778
service,2025-07-11 07:31:37.714,7.50s,37,2025-07-11 07:31:37.714,2025-07-11 07:31:45.217
service,2025-07-11 07:31:46.847,9.40s,38,2025-07-11 07:31:46.847,2025-07-11 07:31:56.244
service,2025-07-11 07:31:57.766,5.58s,39,2025-07-11 07:31:57.766,2025-07-11 07:32:03.346
service,2025-07-11 07:32:04.283,13.20s,40,2025-07-11 07:32:04.283,2025-07-11 07:32:17.486
service,2025-07-11 07:32:19.408,7.38s,41,2025-07-11 07:32:19.408,2025-07-11 07:32:26.783
service,2025-07-11 07:32:29.194,7.03s,42,2025-07-11 07:32:29.194,2025-07-11 07:32:36.228
service,2025-07-11 07:32:42.427,20.54s,43,2025-07-11 07:32:42.427,2025-07-11 07:33:02.965
service,2025-07-11 07:33:05.317,16.94s,44,2025-07-11 07:33:05.317,2025-07-11 07:33:22.254
service,2025-07-11 07:33:24.486,9.61s,45,2025-07-11 07:33:24.486,2025-07-11 07:33:34.096
service,2025-07-11 07:33:35.102,3.61s,46,2025-07-11 07:33:35.102,2025-07-11 07:33:38.715
service,2025-07-11 07:33:41.765,6.56s,47,2025-07-11 07:33:41.765,2025-07-11 07:33:48.327
service,2025-07-11 07:33:49.986,11.01s,48,2025-07-11 07:33:49.986,2025-07-11 07:34:00.994
service,2025-07-11 07:34:02.216,7.73s,49,2025-07-11 07:34:02.216,2025-07-11 07:34:09.943
service,2025-07-11 07:34:11.050,8.54s,50,2025-07-11 07:34:11.050,2025-07-11 07:34:19.589
service,2025-07-11 07:34:21.980,6.01s,51,2025-07-11 07:34:21.980,2025-07-11 07:34:27.988
service,2025-07-11 07:34:29.229,1.35s,52,2025-07-11 07:34:29.229,2025-07-11 07:34:30.576
service,2025-07-11 07:34:31.006,10.46s,53,2025-07-11 07:34:31.006,2025-07-11 07:34:41.467
service,2025-07-11 07:34:42.924,6.78s,54,2025-07-11 07:34:42.924,2025-07-11 07:34:49.705
service,2025-07-11 07:34:51.117,11.31s,55,2025-07-11 07:34:51.117,2025-07-11 07:35:02.426
service,2025-07-11 07:35:03.949,12.65s,56,2025-07-11 07:35:03.949,2025-07-11 07:35:16.595
service,2025-07-11 07:35:18.041,25.07s,57,2025-07-11 07:35:18.041,2025-07-11 07:35:43.114
service,2025-07-11 07:35:44.759,2.70s,58,2025-07-11 07:35:44.759,2025-07-11 07:35:47.460
service,2025-07-11 07:35:49.203,8.99s,59,2025-07-11 07:35:49.203,2025-07-11 07:35:58.193
service,2025-07-11 07:35:59.534,8.17s,60,2025-07-11 07:35:59.534,2025-07-11 07:36:07.706
service,2025-07-11 07:36:08.802,17.98s,61,2025-07-11 07:36:08.802,2025-07-11 07:36:26.785
service,2025-07-11 07:36:27.805,5.20s,62,2025-07-11 07:36:27.805,2025-07-11 07:36:33.004
service,2025-07-11 07:36:34.024,6.24s,63,2025-07-11 07:36:34.024,2025-07-11 07:36:40.266
service,2025-07-11 07:36:43.544,6.84s,64,2025-07-11 07:36:43.544,2025-07-11 07:36:50.381
service,2025-07-11 07:36:52.323,9.80s,65,2025-07-11 07:36:52.323,2025-07-11 07:37:02.128
service,2025-07-11 07:37:02.948,5.67s,66,2025-07-11 07:37:02.948,2025-07-11 07:37:08.615
service,2025-07-11 07:37:10.077,22.12s,67,2025-07-11 07:37:10.077,2025-07-11 07:37:32.195
service,2025-07-11 07:37:33.179,10.96s,68,2025-07-11 07:37:33.179,2025-07-11 07:37:44.144
service,2025-07-11 07:37:45.679,10.63s,69,2025-07-11 07:37:45.679,2025-07-11 07:37:56.313
service,2025-07-11 07:37:57.583,7.72s,70,2025-07-11 07:37:57.583,2025-07-11 07:38:05.308
service,2025-07-11 07:38:06.373,5.03s,71,2025-07-11 07:38:06.373,2025-07-11 07:38:11.401
service,2025-07-11 07:38:12.573,5.75s,72,2025-07-11 07:38:12.573,2025-07-11 07:38:18.322
service,2025-07-11 07:38:19.554,6.83s,73,2025-07-11 07:38:19.554,2025-07-11 07:38:26.381
service,2025-07-11 07:38:27.803,7.24s,74,2025-07-11 07:38:27.803,2025-07-11 07:38:35.046
service,2025-07-11 07:38:35.986,5.33s,75,2025-07-11 07:38:35.986,2025-07-11 07:38:41.321
service,2025-07-11 07:38:43.546,4.74s,76,2025-07-11 07:38:43.546,2025-07-11 07:38:48.285
service,2025-07-11 07:38:50.055,14.51s,77,2025-07-11 07:38:50.055,2025-07-11 07:39:04.564
service,2025-07-11 07:39:06.135,4.98s,78,2025-07-11 07:39:06.135,2025-07-11 07:39:11.114
service,2025-07-11 07:39:11.797,6.49s,79,2025-07-11 07:39:11.797,2025-07-11 07:39:18.285
service,2025-07-11 07:39:18.912,6.83s,80,2025-07-11 07:39:18.912,2025-07-11 07:39:25.747
service,2025-07-11 07:39:26.604,6.09s,81,2025-07-11 07:39:26.604,2025-07-11 07:39:32.697
service,2025-07-11 07:39:34.269,20.22s,82,2025-07-11 07:39:34.269,2025-07-11 07:39:54.489
service,2025-07-11 07:39:57.563,8.94s,83,2025-07-11 07:39:57.563,2025-07-11 07:40:06.502
service,2025-07-11 07:40:07.539,5.20s,84,2025-07-11 07:40:07.539,2025-07-11 07:40:12.743
service,2025-07-11 07:40:13.512,9.87s,85,2025-07-11 07:40:13.512,2025-07-11 07:40:23.384
service,2025-07-11 07:40:24.810,10.05s,86,2025-07-11 07:40:24.810,2025-07-11 07:40:34.863
service,2025-07-11 07:40:37.495,14.21s,87,2025-07-11 07:40:37.495,2025-07-11 07:40:51.706
service,2025-07-11 07:40:53.047,5.57s,88,2025-07-11 07:40:53.047,2025-07-11 07:40:58.612
service,2025-07-11 07:40:59.831,8.32s,89,2025-07-11 07:40:59.831,2025-07-11 07:41:08.153
