Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
arrival;07/11/2025, 07:23:29.975;0.00s;1;07/11/2025, 07:23:29.975;--
arrival;07/11/2025, 07:23:38.573;0.00s;2;07/11/2025, 07:23:38.573;--
arrival;07/11/2025, 07:23:50.564;0.00s;3;07/11/2025, 07:23:50.564;--
arrival;07/11/2025, 07:24:00.453;0.00s;4;07/11/2025, 07:24:00.453;--
arrival;07/11/2025, 07:24:05.750;0.00s;5;07/11/2025, 07:24:05.750;--
arrival;07/11/2025, 07:24:24.022;0.00s;6;07/11/2025, 07:24:24.022;--
arrival;07/11/2025, 07:24:34.852;0.00s;7;07/11/2025, 07:24:34.852;--
arrival;07/11/2025, 07:24:38.107;0.00s;8;07/11/2025, 07:24:38.107;--
arrival;07/11/2025, 07:24:39.345;0.00s;9;07/11/2025, 07:24:39.345;--
arrival;07/11/2025, 07:24:43.551;0.00s;10;07/11/2025, 07:24:43.551;--
arrival;07/11/2025, 07:25:07.655;0.00s;11;07/11/2025, 07:25:07.655;--
arrival;07/11/2025, 07:25:48.682;0.00s;12;07/11/2025, 07:25:48.682;--
arrival;07/11/2025, 07:25:50.494;0.00s;13;07/11/2025, 07:25:50.494;--
arrival;07/11/2025, 07:25:51.919;0.00s;14;07/11/2025, 07:25:51.919;--
arrival;07/11/2025, 07:26:02.479;0.00s;15;07/11/2025, 07:26:02.479;--
arrival;07/11/2025, 07:26:39.251;0.00s;16;07/11/2025, 07:26:39.251;--
arrival;07/11/2025, 07:26:40.743;0.00s;17;07/11/2025, 07:26:40.743;--
arrival;07/11/2025, 07:26:51.253;0.00s;18;07/11/2025, 07:26:51.253;--
arrival;07/11/2025, 07:26:52.370;0.00s;19;07/11/2025, 07:26:52.370;--
arrival;07/11/2025, 07:26:59.068;0.00s;20;07/11/2025, 07:26:59.068;--
arrival;07/11/2025, 07:27:01.635;0.00s;21;07/11/2025, 07:27:01.635;--
arrival;07/11/2025, 07:27:03.687;0.00s;22;07/11/2025, 07:27:03.687;--
arrival;07/11/2025, 07:27:07.427;0.00s;23;07/11/2025, 07:27:07.427;--
arrival;07/11/2025, 07:28:18.270;0.00s;24;07/11/2025, 07:28:18.270;--
arrival;07/11/2025, 07:28:20.879;0.00s;25;07/11/2025, 07:28:20.879;--
arrival;07/11/2025, 07:28:24.686;0.00s;26;07/11/2025, 07:28:24.686;--
arrival;07/11/2025, 07:28:37.253;0.00s;27;07/11/2025, 07:28:37.253;--
arrival;07/11/2025, 07:28:38.111;0.00s;28;07/11/2025, 07:28:38.111;--
arrival;07/11/2025, 07:28:38.838;0.00s;29;07/11/2025, 07:28:38.838;--
arrival;07/11/2025, 07:28:39.731;0.00s;30;07/11/2025, 07:28:39.731;--
arrival;07/11/2025, 07:28:40.460;0.00s;31;07/11/2025, 07:28:40.460;--
arrival;07/11/2025, 07:29:13.539;0.00s;32;07/11/2025, 07:29:13.539;--
arrival;07/11/2025, 07:29:17.105;0.00s;33;07/11/2025, 07:29:17.105;--
arrival;07/11/2025, 07:29:54.095;0.00s;34;07/11/2025, 07:29:54.095;--
arrival;07/11/2025, 07:29:58.043;0.00s;35;07/11/2025, 07:29:58.043;--
arrival;07/11/2025, 07:30:03.618;0.00s;36;07/11/2025, 07:30:03.618;--
arrival;07/11/2025, 07:30:49.411;0.00s;37;07/11/2025, 07:30:49.411;--
arrival;07/11/2025, 07:30:53.470;0.00s;38;07/11/2025, 07:30:53.470;--
arrival;07/11/2025, 07:30:56.361;0.00s;39;07/11/2025, 07:30:56.361;--
arrival;07/11/2025, 07:31:39.465;0.00s;40;07/11/2025, 07:31:39.465;--
arrival;07/11/2025, 07:31:44.327;0.00s;41;07/11/2025, 07:31:44.327;--
arrival;07/11/2025, 07:31:52.091;0.00s;42;07/11/2025, 07:31:52.091;--
arrival;07/11/2025, 07:31:58.558;0.00s;43;07/11/2025, 07:31:58.558;--
arrival;07/11/2025, 07:32:08.267;0.00s;44;07/11/2025, 07:32:08.267;--
arrival;07/11/2025, 07:32:11.873;0.00s;45;07/11/2025, 07:32:11.873;--
arrival;07/11/2025, 07:32:33.726;0.00s;46;07/11/2025, 07:32:33.726;--
arrival;07/11/2025, 07:32:38.454;0.00s;47;07/11/2025, 07:32:38.454;--
arrival;07/11/2025, 07:32:43.532;0.00s;48;07/11/2025, 07:32:43.532;--
arrival;07/11/2025, 07:32:46.040;0.00s;49;07/11/2025, 07:32:46.040;--
arrival;07/11/2025, 07:33:18.055;0.00s;50;07/11/2025, 07:33:18.055;--
arrival;07/11/2025, 07:33:34.335;0.00s;51;07/11/2025, 07:33:34.335;--
arrival;07/11/2025, 07:33:39.898;0.00s;52;07/11/2025, 07:33:39.898;--
arrival;07/11/2025, 07:34:16.607;0.00s;53;07/11/2025, 07:34:16.607;--
arrival;07/11/2025, 07:34:29.573;0.00s;54;07/11/2025, 07:34:29.573;--
arrival;07/11/2025, 07:34:34.755;0.00s;55;07/11/2025, 07:34:34.755;--
arrival;07/11/2025, 07:34:36.551;0.00s;56;07/11/2025, 07:34:36.551;--
arrival;07/11/2025, 07:34:47.285;0.00s;57;07/11/2025, 07:34:47.285;--
arrival;07/11/2025, 07:34:49.615;0.00s;58;07/11/2025, 07:34:49.615;--
arrival;07/11/2025, 07:35:03.184;0.00s;59;07/11/2025, 07:35:03.184;--
arrival;07/11/2025, 07:35:05.376;0.00s;60;07/11/2025, 07:35:05.376;--
arrival;07/11/2025, 07:35:06.882;0.00s;61;07/11/2025, 07:35:06.882;--
arrival;07/11/2025, 07:35:07.745;0.00s;62;07/11/2025, 07:35:07.745;--
arrival;07/11/2025, 07:35:08.410;0.00s;63;07/11/2025, 07:35:08.410;--
arrival;07/11/2025, 07:35:10.467;0.00s;64;07/11/2025, 07:35:10.467;--
arrival;07/11/2025, 07:35:11.549;0.00s;65;07/11/2025, 07:35:11.549;--
arrival;07/11/2025, 07:35:27.952;0.00s;66;07/11/2025, 07:35:27.952;--
arrival;07/11/2025, 07:35:31.565;0.00s;67;07/11/2025, 07:35:31.565;--
arrival;07/11/2025, 07:35:33.740;0.00s;68;07/11/2025, 07:35:33.740;--
arrival;07/11/2025, 07:35:37.209;0.00s;69;07/11/2025, 07:35:37.209;--
arrival;07/11/2025, 07:35:38.849;0.00s;70;07/11/2025, 07:35:38.849;--
arrival;07/11/2025, 07:35:40.050;0.00s;71;07/11/2025, 07:35:40.050;--
arrival;07/11/2025, 07:35:43.052;0.00s;72;07/11/2025, 07:35:43.052;--
arrival;07/11/2025, 07:35:46.175;0.00s;73;07/11/2025, 07:35:46.175;--
arrival;07/11/2025, 07:35:48.417;0.00s;74;07/11/2025, 07:35:48.417;--
arrival;07/11/2025, 07:35:52.707;0.00s;75;07/11/2025, 07:35:52.707;--
arrival;07/11/2025, 07:36:15.801;0.00s;76;07/11/2025, 07:36:15.801;--
arrival;07/11/2025, 07:36:16.919;0.00s;77;07/11/2025, 07:36:16.919;--
arrival;07/11/2025, 07:36:18.010;0.00s;78;07/11/2025, 07:36:18.010;--
arrival;07/11/2025, 07:36:25.353;0.00s;79;07/11/2025, 07:36:25.353;--
arrival;07/11/2025, 07:36:28.071;0.00s;80;07/11/2025, 07:36:28.071;--
arrival;07/11/2025, 07:36:41.695;0.00s;81;07/11/2025, 07:36:41.695;--
arrival;07/11/2025, 07:36:47.571;0.00s;82;07/11/2025, 07:36:47.571;--
arrival;07/11/2025, 07:36:55.396;0.00s;83;07/11/2025, 07:36:55.396;--
arrival;07/11/2025, 07:36:56.559;0.00s;84;07/11/2025, 07:36:56.559;--
arrival;07/11/2025, 07:37:10.412;0.00s;85;07/11/2025, 07:37:10.412;--
arrival;07/11/2025, 07:37:11.045;0.00s;86;07/11/2025, 07:37:11.045;--
arrival;07/11/2025, 07:37:11.652;0.00s;87;07/11/2025, 07:37:11.652;--
arrival;07/11/2025, 07:37:16.652;0.00s;88;07/11/2025, 07:37:16.652;--
arrival;07/11/2025, 07:37:17.194;0.00s;89;07/11/2025, 07:37:17.194;--
arrival;07/11/2025, 07:37:17.899;0.00s;90;07/11/2025, 07:37:17.899;--
arrival;07/11/2025, 07:37:37.111;0.00s;91;07/11/2025, 07:37:37.111;--
arrival;07/11/2025, 07:37:44.644;0.00s;92;07/11/2025, 07:37:44.644;--
