Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
arrival;05/11/2025, 16:29:13.298;0.00s;12;05/11/2025, 16:29:13.298;--
arrival;05/11/2025, 16:29:14.700;0.00s;13;05/11/2025, 16:29:14.700;--
arrival;05/11/2025, 16:29:18.126;0.00s;14;05/11/2025, 16:29:18.126;--
arrival;05/11/2025, 16:29:21.801;0.00s;16;05/11/2025, 16:29:21.801;--
arrival;05/11/2025, 16:29:23.251;0.00s;17;05/11/2025, 16:29:23.251;--
arrival;05/11/2025, 16:29:24.658;0.00s;18;05/11/2025, 16:29:24.658;--
arrival;05/11/2025, 16:29:26.540;0.00s;19;05/11/2025, 16:29:26.540;--
arrival;05/11/2025, 16:29:28.814;0.00s;20;05/11/2025, 16:29:28.814;--
arrival;05/11/2025, 16:29:29.708;0.00s;21;05/11/2025, 16:29:29.708;--
arrival;05/11/2025, 16:29:30.783;0.00s;22;05/11/2025, 16:29:30.783;--
arrival;05/11/2025, 16:29:35.935;0.00s;23;05/11/2025, 16:29:35.935;--
arrival;05/11/2025, 16:29:37.882;0.00s;24;05/11/2025, 16:29:37.882;--
arrival;05/11/2025, 16:29:39.731;0.00s;25;05/11/2025, 16:29:39.731;--
arrival;05/11/2025, 16:29:42.063;0.00s;26;05/11/2025, 16:29:42.063;--
arrival;05/11/2025, 16:29:45.824;0.00s;27;05/11/2025, 16:29:45.824;--
arrival;05/11/2025, 16:29:47.967;0.00s;28;05/11/2025, 16:29:47.967;--
arrival;05/11/2025, 16:29:50.431;0.00s;29;05/11/2025, 16:29:50.431;--
arrival;05/11/2025, 16:29:52.412;0.00s;30;05/11/2025, 16:29:52.412;--
arrival;05/11/2025, 16:29:54.746;0.00s;31;05/11/2025, 16:29:54.746;--
arrival;05/11/2025, 16:29:57.219;0.00s;32;05/11/2025, 16:29:57.219;--
arrival;05/11/2025, 16:30:06.278;0.00s;34;05/11/2025, 16:30:06.278;--
arrival;05/11/2025, 16:30:07.970;0.00s;35;05/11/2025, 16:30:07.970;--
arrival;05/11/2025, 16:30:10.078;0.00s;36;05/11/2025, 16:30:10.078;--
arrival;05/11/2025, 16:30:13.979;0.00s;37;05/11/2025, 16:30:13.979;--
arrival;05/11/2025, 16:30:16.639;0.00s;38;05/11/2025, 16:30:16.639;--
arrival;05/11/2025, 16:30:18.096;0.00s;39;05/11/2025, 16:30:18.096;--
arrival;05/11/2025, 16:30:20.275;0.00s;40;05/11/2025, 16:30:20.275;--
arrival;05/11/2025, 16:30:22.858;0.00s;41;05/11/2025, 16:30:22.858;--
arrival;05/11/2025, 16:30:33.336;0.00s;42;05/11/2025, 16:30:33.336;--
arrival;05/11/2025, 16:30:39.921;0.00s;43;05/11/2025, 16:30:39.921;--
arrival;05/11/2025, 16:30:46.987;0.00s;44;05/11/2025, 16:30:46.987;--
