Tipo;Carimbo de Data/Hora;Tempo Total;Elemento;Chegando;Saindo
service;05/11/2025, 16:29:34.730;3.18s;12;05/11/2025, 16:29:34.730;05/11/2025, 16:29:37.907
service;05/11/2025, 16:29:38.156;1.59s;13;05/11/2025, 16:29:38.156;05/11/2025, 16:29:39.751
service;05/11/2025, 16:29:39.971;1.56s;14;05/11/2025, 16:29:39.971;05/11/2025, 16:29:41.531
service;05/11/2025, 16:29:42.363;1.94s;15;05/11/2025, 16:29:42.363;05/11/2025, 16:29:44.305
service;05/11/2025, 16:29:46.615;3.29s;16;05/11/2025, 16:29:46.615;05/11/2025, 16:29:49.906
service;05/11/2025, 16:29:50.616;1.92s;17;05/11/2025, 16:29:50.616;05/11/2025, 16:29:52.538
service;05/11/2025, 16:29:52.902;1.86s;18;05/11/2025, 16:29:52.902;05/11/2025, 16:29:54.762
service;05/11/2025, 16:29:55.046;2.01s;19;05/11/2025, 16:29:55.046;05/11/2025, 16:29:57.056
service;05/11/2025, 16:29:57.364;1.99s;20;05/11/2025, 16:29:57.364;05/11/2025, 16:29:59.350
service;05/11/2025, 16:29:59.781;5.93s;21;05/11/2025, 16:29:59.781;05/11/2025, 16:30:05.709
service;05/11/2025, 16:30:08.138;0.47s;23;05/11/2025, 16:30:08.138;05/11/2025, 16:30:08.606
service;05/11/2025, 16:30:09.800;0.34s;24;05/11/2025, 16:30:09.800;05/11/2025, 16:30:10.140
service;05/11/2025, 16:30:10.818;0.71s;25;05/11/2025, 16:30:10.818;05/11/2025, 16:30:11.529
service;05/11/2025, 16:30:14.824;1.57s;26;05/11/2025, 16:30:14.824;05/11/2025, 16:30:16.394
service;05/11/2025, 16:30:16.773;1.59s;27;05/11/2025, 16:30:16.773;05/11/2025, 16:30:18.367
service;05/11/2025, 16:30:18.814;1.22s;28;05/11/2025, 16:30:18.814;05/11/2025, 16:30:20.029
service;05/11/2025, 16:30:20.851;2.22s;29;05/11/2025, 16:30:20.851;05/11/2025, 16:30:23.068
service;05/11/2025, 16:30:23.349;1.97s;30;05/11/2025, 16:30:23.349;05/11/2025, 16:30:25.320
service;05/11/2025, 16:30:33.139;2.28s;31;05/11/2025, 16:30:33.139;05/11/2025, 16:30:35.417
service;05/11/2025, 16:30:40.034;1.77s;32;05/11/2025, 16:30:40.034;05/11/2025, 16:30:41.800
service;05/11/2025, 16:30:46.988;1.50s;33;05/11/2025, 16:30:46.988;05/11/2025, 16:30:48.489
service;05/11/2025, 16:30:48.903;1.56s;34;05/11/2025, 16:30:48.903;05/11/2025, 16:30:50.463
service;05/11/2025, 16:31:09.516;1.55s;35;05/11/2025, 16:31:09.516;05/11/2025, 16:31:11.071
service;05/11/2025, 16:31:12.251;0.74s;36;05/11/2025, 16:31:12.251;05/11/2025, 16:31:12.993
